ID,ID_Sesion,ID_Conexión_unico,Usuario,IP_NAS_AP,Tipo__conexión,Inicio_de_Conexión_Dia,Inicio_de_Conexión_Hora,FIN_de_Conexión_Dia,FIN_de_Conexión_Hora,Session_Time,Input_Octects,Output_Octects,MAC_AP,MAC_Cliente,Razon_de_Terminación_de_Sesión,,
917780,00000019-0000024D,9,8,"6,058739162312E+040",mtorresw,192.168.247.22,Wireless-802.11,2019-11-27,10:15:41,2019-11-27,10:19:40,239,0,0,04-18-D6-C1-0B-08:HCDD,A8-9C-ED-4D-89-1D,User-Request
1129789,6,4,"9,59371086E+071",ft42t304tt44e077,invitado-prensaw,192.168.247.18,Wireless-802.11,2021-02-24,13:10:17,2021-02-24,13:33:06,1368,8925723,130256241,04-18-D6-C2-0A-F7:HCDD,04-D3-95-17-3D-6F,User-Request
1440422,05B54197AC76C6F2,18f23c69b8905454,cxrcrghetares,192.168.247.26,Wireless-802.11,2022-08-01,12:58:44,2022-08-01,13:03:35,290,2679,2878,E6-63-DA-B8-0F-D2:HCDD,48-C7-96-2F-5B-F5,User-Request,,
1440423,60F18D74-00001C95,7ad94fc02b03f7f7,ainsa,,200.9.38.6,Wireless-802.11,2022-08-01,12:58:45,2022-08-01,12:59:19,34,247174,524275,DC-9F-DB-12-F4-A9:HCDD,22-56-8C-70-8C-8E,User-Request,
1440424,1199B2ABEE685701,a073ab4d9b3daff9,cjsalasdu,192.168.247.26,Wireless-802.11,2022-08-01,12:59:09,2022-08-01,13:00:07,57,0,0,04-18-D6-21-8E-6D:HCDD,D2-C1-F3-B4-CA-98,User-Request,,
1440425,B282292085354791,d8613167efa1e1f6,alucdbultrdu,192.168.247.29,Wireless-802.11,2022-08-01,12:59:21,2022-08-01,12:59:32,11,4712,1825,74-AC-B9-6B-18-32:HCDD,86-84-ED-71-DB-80,User-Request,,
1440426,D786E7667DD3EF23,d8f59167b4f6bda8,alucdbultrdu,192.168.247.29,Wireless-802.11,2022-08-01,12:59:23,2022-08-01,13:13:35,852,841879,787541,74-AC-B9-6A-18-32:HCDD,86-84-ED-71-DB-80,User-Request,,
1440427,35E2B1A27D9D07C3,a822d6ba661700ea,ainsa,192.168.247.18,Wireless-802.11,2022-08-01,12:59:25,2022-08-01,13:05:10,220,0,0,04-18-D6-C2-0A-F7:HCDD,DC-BF-E9-03-DD-92,,,
1440428,60F18D74-00001C96,4bc2d2ab7daced0b,ainsa,,200.9.38.6,Wireless-802.11,2022-08-01,12:59:30,2022-08-01,13:00:04,33,178406,437972,DC-9F-DB-12-F4-A9:HCDD,22-56-8C-70-8C-8E,User-Request,
1440429,45AD411A49F8BB73,d641bfc1ab72b852,jlarezatat,192.168.247.26,Wireless-802.11,2022-08-01,12:59:33,2022-08-01,14:42:03,6149,6507092,238365116,E6-63-DA-B8-0F-D2:HCDD,76-1C-C6-D0-A2-CF,User-Request,,
1440430,4D2C6DCA262A5A10,73ef49930a47e8f2,cjsalasdu,192.168.247.27,Wireless-802.11,2022-08-01,13:00:08,2022-08-01,13:06:26,378,169047,228981,74-AC-B9-6A-18-4C:HCDD,D2-C1-F3-B4-CA-98,User-Request,,
1440431,60F18D74-00001C98,648427124df2fe54,ainsa,,200.9.38.6,Wireless-802.11,2022-08-01,13:00:09,2022-08-01,13:00:31,22,378844,3012674,DC-9F-DB-12-F4-A9:HCDD,22-56-8C-70-8C-8E,User-Request,
1440432,60F18D74-00001C99,a619d2b82e8ac952,ainsa,,200.9.38.6,Wireless-802.11,2022-08-01,13:00:36,2022-08-01,13:05:26,290,1186665,3999892,DC-9F-DB-12-F4-A9:HCDD,22-56-8C-70-8C-8E,User-Request,
1440433,1BF509CB218679DE,e4d971190f42f962,ainsa,192.168.247.34,Wireless-802.11,2022-08-01,13:00:39,2022-08-01,13:01:30,51,865969,1740664,E6-63-DA-B8-10-87:HCDD,AE-4D-F6-45-8F-58,User-Request,,
1440434,35E2B1A27D9D07C3,a822d6ba661700ea,ainsa,192.168.247.18,Wireless-802.11,2022-08-01,13:01:29,2022-08-01,13:05:10,220,0,0,04-18-D6-C2-0A-F7:HCDD,DC-BF-E9-03-DD-92,,,
1440435,EBA4112325BFA7B4,43dd43d8192a6d32,ainsa,192.168.247.34,Wireless-802.11,2022-08-01,13:01:29,2022-08-01,13:08:34,424,4780985,6742681,E0-63-DA-B7-10-87:HCDD,AE-4D-F6-45-8F-58,User-Request,,
1440436,4549CA3BF8695A9F,a160e22ec7f0f282,jcanale,192.168.247.28,Wireless-802.11,2022-08-01,13:01:42,2022-08-01,13:06:40,298,2159811,19386956,74-AC-B9-6A-19-AA:HCDD,4E-55-08-34-BE-D9,User-Request,,
